type,name,confidence,page_number,line_number
topic,topic,0.02390438247011952,243,0
topic,class,0.0199203187250996,243,0
topic,course,0.0199203187250996,243,0
topic,responses,0.01593625498007968,243,0
topic,used,0.06060606060606061,244,0
topic,sentiments,0.06060606060606061,244,0
topic,changed,0.06060606060606061,244,0
topic,234,0.030303030303030304,244,0
topic,ober,0.030303030303030304,244,0
topic,assignments,0.03484320557491289,245,0
topic,late,0.020905923344947737,245,0
topic,professional,0.020905923344947737,245,0
topic,students,0.017421602787456445,245,0
topic,development,0.017421602787456445,245,0
topic,used,0.06060606060606061,246,0
topic,sentiments,0.06060606060606061,246,0
topic,236,0.030303030303030304,246,0
topic,ober,0.030303030303030304,246,0
topic,et,0.030303030303030304,246,0
topic,online,0.04395604395604396,247,0
topic,teaching,0.03296703296703297,247,0
topic,professional,0.02197802197802198,247,0
topic,helpful,0.02197802197802198,247,0
topic,topic,0.018315018315018316,247,0
topic,238,0.03333333333333333,248,0
topic,ober,0.03333333333333333,248,0
topic,et,0.03333333333333333,248,0
topic,al,0.03333333333333333,248,0
topic,fig,0.03333333333333333,248,0
topic,topic,0.06451612903225806,249,0
topic,changed,0.06451612903225806,249,0
topic,applying,0.03225806451612903,249,0
topic,modeling,0.03225806451612903,249,0
topic,understand,0.03225806451612903,249,0
topic,240,0.038461538461538464,250,0
topic,ober,0.038461538461538464,250,0
topic,et,0.038461538461538464,250,0
topic,al,0.038461538461538464,250,0
topic,fig,0.038461538461538464,250,0
topic,topic,0.07142857142857142,251,0
topic,applying,0.03571428571428571,251,0
topic,modeling,0.03571428571428571,251,0
topic,understand,0.03571428571428571,251,0
topic,assessment,0.03571428571428571,251,0
topic,https,0.04904632152588556,252,0
topic,online,0.035422343324250684,252,0
topic,2020,0.02452316076294278,252,0
topic,j,0.02452316076294278,252,0
topic,learning,0.01907356948228883,252,0
topic,https,0.04392764857881137,253,0
topic,2021,0.01808785529715762,253,0
topic,online,0.01808785529715762,253,0
topic,assessment,0.015503875968992248,253,0
topic,educ,0.015503875968992248,253,0
topic,https,0.06484641638225255,254,0
topic,education,0.030716723549488054,254,0
topic,2020,0.023890784982935155,254,0
topic,j,0.023890784982935155,254,0
topic,assessment,0.017064846416382253,254,0
topic,learning,0.13705583756345177,255,0
topic,immersive,0.04568527918781726,255,0
topic,machine,0.04060913705583756,255,0
topic,experience,0.030456852791878174,255,0
topic,environments,0.025380710659898477,255,0
topic,learning,0.08873720136518772,256,0
topic,immersive,0.027303754266211604,256,0
topic,learners,0.023890784982935155,256,0
topic,experience,0.020477815699658702,256,0
topic,machine,0.017064846416382253,256,0
topic,learning,0.11016949152542373,257,0
topic,machine,0.07627118644067797,257,0
topic,house,0.029661016949152543,257,0
topic,education,0.01694915254237288,257,0
topic,problems,0.01694915254237288,257,0
topic,learning,0.10505836575875487,258,0
topic,machine,0.042801556420233464,258,0
topic,used,0.019455252918287938,258,0
topic,students,0.019455252918287938,258,0
topic,educational,0.019455252918287938,258,0
topic,learning,0.07612456747404844,259,0
topic,topic,0.04152249134948097,259,0
topic,machine,0.02768166089965398,259,0
topic,students,0.020761245674740483,259,0
topic,data,0.01730103806228374,259,0
topic,learning,0.1103202846975089,260,0
topic,theories,0.021352313167259787,260,0
topic,immersive,0.021352313167259787,260,0
topic,cognition,0.017793594306049824,260,0
topic,situated,0.017793594306049824,260,0
topic,learning,0.0858085808580858,261,0
topic,adaptive,0.0429042904290429,261,0
topic,machine,0.036303630363036306,261,0
topic,immersive,0.0231023102310231,261,0
topic,experience,0.0231023102310231,261,0
topic,learning,0.10460251046025104,262,0
topic,machine,0.058577405857740586,262,0
topic,data,0.02510460251046025,262,0
topic,et,0.02092050209205021,262,0
topic,al,0.02092050209205021,262,0
topic,learning,0.05921052631578947,263,0
topic,virtual,0.03289473684210526,263,0
topic,learners,0.02631578947368421,263,0
topic,machine,0.023026315789473683,263,0
topic,et,0.019736842105263157,263,0
topic,language,0.034161490683229816,264,0
topic,learning,0.027950310559006212,264,0
topic,natural,0.024844720496894408,264,0
topic,conversational,0.021739130434782608,264,0
topic,ai,0.021739130434782608,264,0
topic,language,0.054901960784313725,265,0
topic,large,0.047058823529411764,265,0
topic,models,0.0392156862745098,265,0
topic,learning,0.027450980392156862,265,0
topic,virtual,0.023529411764705882,265,0
topic,learning,0.08727272727272728,266,0
topic,assessment,0.04,266,0
topic,teaching,0.025454545454545455,266,0
topic,support,0.02181818181818182,266,0
topic,teachers,0.01818181818181818,266,0
topic,learning,0.07836990595611286,267,0
topic,assessment,0.0438871473354232,267,0
topic,machine,0.034482758620689655,267,0
topic,stealth,0.0219435736677116,267,0
topic,immersive,0.018808777429467086,267,0
topic,learning,0.071875,268,0
topic,used,0.025,268,0
topic,assessment,0.021875,268,0
topic,teaching,0.021875,268,0
topic,immersive,0.01875,268,0
topic,learning,0.09642857142857143,269,0
topic,machine,0.03214285714285714,269,0
topic,immersive,0.03214285714285714,269,0
topic,environments,0.02857142857142857,269,0
topic,design,0.014285714285714285,269,0
topic,learning,0.1016949152542373,270,0
topic,immersive,0.038135593220338986,270,0
topic,environments,0.03389830508474576,270,0
topic,machine,0.025423728813559324,270,0
topic,assessment,0.0211864406779661,270,0
topic,learning,0.04830917874396135,271,0
topic,https,0.033816425120772944,271,0
topic,j,0.024154589371980676,271,0
topic,dai,0.024154589371980676,271,0
topic,virtual,0.021739130434782608,271,0
topic,learning,0.040100250626566414,272,0
topic,https,0.03759398496240601,272,0
topic,educ,0.012531328320802004,272,0
topic,f,0.010025062656641603,272,0
topic,education,0.010025062656641603,272,0
topic,https,0.04513064133016627,273,0
topic,learning,0.035629453681710214,273,0
topic,j,0.030878859857482184,273,0
topic,educ,0.023752969121140142,273,0
topic,1,0.021377672209026127,273,0
topic,https,0.03481012658227848,274,0
topic,learning,0.03164556962025317,274,0
topic,virtual,0.022151898734177215,274,0
topic,machine,0.015822784810126583,274,0
topic,games,0.012658227848101266,274,0
topic,machine,0.25,275,0
topic,learning,0.25,275,0
topic,educational,0.25,275,0
topic,research,0.25,275,0
topic,data,0.04040404040404041,276,0
topic,learning,0.030303030303030304,276,0
topic,machine,0.025252525252525252,276,0
topic,educational,0.020202020202020204,276,0
topic,model,0.020202020202020204,276,0
topic,ml,0.03666666666666667,277,0
topic,data,0.02,277,0
topic,educational,0.016666666666666666,277,0
topic,context,0.016666666666666666,277,0
topic,literacy,0.016666666666666666,277,0
topic,data,0.05714285714285714,278,0
topic,ml,0.036734693877551024,278,0
topic,analysis,0.02040816326530612,278,0
topic,statistical,0.0163265306122449,278,0
topic,model,0.0163265306122449,278,0
topic,academic,0.04081632653061224,279,0
topic,pisa,0.02040816326530612,279,0
topic,educational,0.0163265306122449,279,0
topic,education,0.0163265306122449,279,0
topic,children,0.0163265306122449,279,0
topic,life,0.02952029520295203,280,0
topic,students,0.02952029520295203,280,0
topic,positive,0.025830258302583026,280,0
topic,perception,0.014760147601476014,280,0
topic,happiness,0.014760147601476014,280,0
topic,pisa,0.03202846975088968,281,0
topic,student,0.02491103202846975,281,0
topic,2018,0.021352313167259787,281,0
topic,et,0.017793594306049824,281,0
topic,al,0.017793594306049824,281,0
topic,data,0.02112676056338028,282,0
topic,skills,0.017605633802816902,282,0
topic,methods,0.014084507042253521,282,0
topic,inﬂuence,0.01056338028169014,282,0
topic,context,0.01056338028169014,282,0
topic,data,0.02145922746781116,283,0
topic,bda,0.02145922746781116,283,0
topic,pisa,0.02145922746781116,283,0
topic,variables,0.017167381974248927,283,0
topic,predictors,0.012875536480686695,283,0
topic,pisa,0.026717557251908396,284,0
topic,data,0.026717557251908396,284,0
topic,variables,0.015267175572519083,284,0
topic,scores,0.015267175572519083,284,0
topic,69,0.011450381679389313,284,0
topic,score,0.01929260450160772,285,0
topic,method,0.01929260450160772,285,0
topic,data,0.01929260450160772,285,0
topic,regression,0.01607717041800643,285,0
topic,student,0.012861736334405145,285,0
topic,boosting,0.03103448275862069,286,0
topic,model,0.03103448275862069,286,0
topic,neural,0.03103448275862069,286,0
topic,layer,0.02413793103448276,286,0
topic,xgboost,0.020689655172413793,286,0
topic,model,0.054474708171206226,287,0
topic,models,0.0311284046692607,287,0
topic,median,0.027237354085603113,287,0
topic,averaging,0.023346303501945526,287,0
topic,data,0.019455252918287938,287,0
topic,boosting,0.04326923076923077,288,0
topic,rase,0.028846153846153848,288,0
topic,neural,0.028846153846153848,288,0
topic,model,0.02403846153846154,288,0
topic,math,0.02403846153846154,288,0
topic,time,0.035,289,0
topic,predictors,0.03,289,0
topic,important,0.025,289,0
topic,3,0.02,289,0
topic,boosting,0.02,289,0
topic,predictors,0.028708133971291867,290,0
topic,performance,0.028708133971291867,290,0
topic,science,0.023923444976076555,290,0
topic,time,0.023923444976076555,290,0
topic,academic,0.023923444976076555,290,0
topic,students,0.05,291,0
topic,academic,0.0375,291,0
topic,school,0.03125,291,0
topic,negative,0.025,291,0
topic,et,0.01875,291,0
topic,math,0.02197802197802198,292,0
topic,students,0.02197802197802198,292,0
topic,relationship,0.016483516483516484,292,0
topic,performance,0.016483516483516484,292,0
topic,phenomenon,0.016483516483516484,292,0
topic,future,0.0273972602739726,293,0
topic,performance,0.02054794520547945,293,0
topic,relationship,0.0136986301369863,293,0
topic,school,0.0136986301369863,293,0
topic,math,0.0136986301369863,293,0
topic,new,0.031088082901554404,294,0
topic,methods,0.025906735751295335,294,0
topic,educational,0.02072538860103627,294,0
topic,research,0.02072538860103627,294,0
topic,ml,0.02072538860103627,294,0
topic,lives,0.028037383177570093,295,0
topic,life,0.028037383177570093,295,0
topic,dimensions,0.018691588785046728,295,0
topic,educational,0.018691588785046728,295,0
topic,school,0.018691588785046728,295,0
topic,social,0.042105263157894736,296,0
topic,et,0.042105263157894736,296,0
topic,al,0.042105263157894736,296,0
topic,health,0.031578947368421054,296,0
topic,govorova,0.031578947368421054,296,0
topic,j,0.024330900243309004,297,0
topic,https,0.019464720194647202,297,0
topic,pp,0.009732360097323601,297,0
topic,3,0.009732360097323601,297,0
topic,educ,0.009732360097323601,297,0
topic,https,0.043010752688172046,298,0
topic,j,0.02956989247311828,298,0
topic,psychol,0.01881720430107527,298,0
topic,positive,0.013440860215053764,298,0
topic,r,0.010752688172043012,298,0
topic,https,0.04603580562659847,299,0
topic,j,0.03580562659846547,299,0
topic,academic,0.017902813299232736,299,0
topic,psychol,0.017902813299232736,299,0
topic,educ,0.01278772378516624,299,0
topic,https,0.05421686746987952,300,0
topic,development,0.015060240963855422,300,0
topic,school,0.012048192771084338,300,0
topic,j,0.012048192771084338,300,0
topic,science,0.012048192771084338,300,0
topic,data,0.03273809523809524,301,0
topic,https,0.02976190476190476,301,0
topic,science,0.023809523809523808,301,0
topic,yu,0.020833333333333332,301,0
topic,ch,0.017857142857142856,301,0
topic,learning,0.0273224043715847,302,0
topic,problems,0.02185792349726776,302,0
topic,language,0.01639344262295082,302,0
topic,computers,0.01639344262295082,302,0
topic,games,0.01639344262295082,302,0
topic,data,0.025806451612903226,303,0
topic,language,0.02258064516129032,303,0
topic,science,0.01935483870967742,303,0
topic,could,0.016129032258064516,303,0
topic,even,0.016129032258064516,303,0
topic,llms,0.02287581699346405,304,0
topic,ml,0.0196078431372549,304,0
topic,problem,0.0196078431372549,304,0
topic,language,0.016339869281045753,304,0
topic,data,0.016339869281045753,304,0
topic,llms,0.050761421319796954,305,0
topic,data,0.04568527918781726,305,0
topic,physics,0.030456852791878174,305,0
topic,processes,0.015228426395939087,305,0
topic,scalable,0.015228426395939087,305,0
topic,llms,0.02074688796680498,306,0
topic,prompting,0.016597510373443983,306,0
topic,problem,0.016597510373443983,306,0
topic,mass,0.016597510373443983,306,0
topic,models,0.012448132780082987,306,0
topic,mass,0.04424778761061947,307,0
topic,loop,0.04424778761061947,307,0
topic,solution,0.04424778761061947,307,0
topic,phase,0.04424778761061947,307,0
topic,problem,0.035398230088495575,307,0
topic,present,0.16597510373443983,308,0
topic,explicitly,0.08713692946058091,308,0
topic,correct,0.06224066390041494,308,0
topic,solution,0.03734439834024896,308,0
topic,implicitly,0.03319502074688797,308,0
topic,solution,0.033962264150943396,309,0
topic,problems,0.033962264150943396,309,0
topic,chatgpt,0.03018867924528302,309,0
topic,physics,0.026415094339622643,309,0
topic,generate,0.022641509433962263,309,0
topic,problem,0.04792332268370607,310,0
topic,problems,0.022364217252396165,310,0
topic,1,0.019169329073482427,310,0
topic,2,0.019169329073482427,310,0
topic,height,0.01597444089456869,310,0
topic,problem,0.03985507246376811,311,0
topic,force,0.028985507246376812,311,0
topic,problems,0.025362318840579712,311,0
topic,concepts,0.025362318840579712,311,0
topic,used,0.025362318840579712,311,0
topic,problems,0.04779411764705882,312,0
topic,problem,0.01838235294117647,312,0
topic,physics,0.01838235294117647,312,0
topic,chatgpt,0.01838235294117647,312,0
topic,data,0.014705882352941176,312,0
topic,llms,0.04452054794520548,313,0
topic,researchers,0.0273972602739726,313,0
topic,problems,0.017123287671232876,313,0
topic,data,0.017123287671232876,313,0
topic,surveys,0.017123287671232876,313,0
topic,energy,0.06818181818181818,314,0
topic,mass,0.06363636363636363,314,0
topic,loop,0.031818181818181815,314,0
topic,force,0.031818181818181815,314,0
topic,solution,0.01818181818181818,314,0
topic,loop,0.049079754601226995,315,0
topic,mass,0.04294478527607362,315,0
topic,r,0.03067484662576687,315,0
topic,height,0.03067484662576687,315,0
topic,energy,0.024539877300613498,315,0
topic,mass,0.05737704918032787,316,0
topic,loop,0.04918032786885246,316,0
topic,energy,0.045081967213114756,316,0
topic,force,0.045081967213114756,316,0
topic,height,0.02459016393442623,316,0
